frequency,rebalance_date,next_rebalance,ic_pearson,ic_spearman,n_stocks
weekly,1973-11-16,1973-11-23,0.18381562427056655,0.21268884085240353,1403
weekly,1973-11-23,1973-11-30,0.12096601338158085,0.14953536066034767,1356
weekly,1973-11-30,1973-12-07,0.14038874888362068,0.16241283828227482,1357
weekly,1973-12-07,1973-12-14,0.07819411342656576,0.10500390123605034,1354
weekly,1973-12-14,1973-12-21,0.08320561239123986,0.11671343248330437,1317
weekly,1973-12-21,1973-12-28,0.004519235398433081,0.07073418951746206,1306
weekly,1973-12-28,1974-01-04,-0.37981605189310647,-0.3642109842798741,1330
weekly,1974-01-04,1974-01-11,-0.2046199729519794,-0.20756896810935072,1372
weekly,1974-01-11,1974-01-18,-0.058761386645717235,-0.04305356235716596,1311
weekly,1974-01-18,1974-01-25,-0.07114890332815761,-0.044410502558224256,1359
weekly,1974-01-25,1974-02-01,-0.11316753263671611,-0.08930322424674836,1343
weekly,1974-02-01,1974-02-08,0.006319231548569191,0.036724236363256585,1348
weekly,1974-02-08,1974-02-15,0.01958354719750804,0.06318223297128713,1333
weekly,1974-02-15,1974-02-22,0.09935339753119837,0.1501513691825177,1336
weekly,1974-02-22,1974-03-01,-0.05714436820095852,-0.03335743422038467,1357
weekly,1974-03-01,1974-03-08,-0.08995672541345097,-0.06471164190052321,1338
weekly,1974-03-08,1974-03-15,-0.08422273920006319,-0.06943533225132753,1370
weekly,1974-03-15,1974-03-22,-0.011015278369906841,-0.0120255122514584,1376
weekly,1974-03-22,1974-03-29,-0.06526916266391541,-0.056948481116395,1371
weekly,1974-03-29,1974-04-05,-0.03413078747635895,-0.017077791241672444,1347
weekly,1974-04-05,1974-04-11,0.027599275075159056,0.02546728490116325,1370
weekly,1974-04-11,1974-04-19,0.026935968642427595,0.06329382249015567,1336
weekly,1974-04-19,1974-04-26,-0.03958909080501622,-0.043867823831700986,1372
weekly,1974-04-26,1974-05-03,0.07932364412987458,0.11958767115478378,1351
weekly,1974-05-03,1974-05-10,0.07321694036177545,0.11318688353521728,1313
weekly,1974-05-10,1974-05-17,0.0034909194423610656,0.005965148517230957,1354
weekly,1974-05-17,1974-05-24,0.13788347208481233,0.14834923310181122,1336
weekly,1974-05-24,1974-05-31,-0.018743137139339366,-0.0036687569537255903,1324
weekly,1974-05-31,1974-06-07,0.025902483560573532,0.08437108456310777,1271
weekly,1974-06-07,1974-06-14,-0.04520974098546345,-0.0361807394028269,1370
weekly,1974-06-14,1974-06-21,-0.08568888201041051,-0.08413918280825106,1286
weekly,1974-06-21,1974-06-28,0.07938619429247282,0.07648582052979343,1302
weekly,1974-06-28,1974-07-05,0.04164556109511445,0.03076668372129644,1307
weekly,1974-07-05,1974-07-12,0.12087530055950353,0.14153114311127651,1219
weekly,1974-07-12,1974-07-19,-0.11873311256139336,-0.09319693430294929,1284
weekly,1974-07-19,1974-07-26,-0.10018226460213711,-0.0764617039794211,1219
weekly,1974-07-26,1974-08-02,-0.1513959244522539,-0.15577260434748794,1220
weekly,1974-08-02,1974-08-09,-0.08090520353924699,-0.04837915837967782,1198
weekly,1974-08-09,1974-08-16,-0.21232263211774308,-0.23440897227012047,1243
weekly,1974-08-16,1974-08-23,-0.07488352880414424,-0.08650218562712443,1191
weekly,1974-08-23,1974-08-30,0.17574884502322255,0.16332593745532126,1210
weekly,1974-08-30,1974-09-06,0.07496738587846842,0.11438300217350211,1216
weekly,1974-09-06,1974-09-13,-0.02278620343738384,-0.0431372732841361,1187
weekly,1974-09-13,1974-09-20,0.1279246216114497,0.18970676043983328,1165
weekly,1974-09-20,1974-09-27,-0.30883662619954594,-0.3125010698832826,1178
weekly,1974-09-27,1974-10-04,-0.06558835619775123,-0.05956817461375469,1114
weekly,1974-10-04,1974-10-11,0.18667865312969076,0.20515632061895847,1132
weekly,1974-10-11,1974-10-18,-0.004338251956845783,0.028576607312476784,1212
weekly,1974-10-18,1974-10-25,-0.08739156044125987,-0.06878767281953613,1188
weekly,1974-10-25,1974-11-01,0.23209198271813034,0.28060208545111387,1163
weekly,1974-11-01,1974-11-08,0.07343200000858469,0.12778793025693622,1159
weekly,1974-11-08,1974-11-15,-0.14849088957462755,-0.1371641444775793,1180
